r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps
1.0,0.0,0.0,0.0,0.0,0.08958488702774048,0.8982871770858765,-8.56628394103609e-05,-0.002894688630476594,0.9977625608444214,0.992104709148407,1.835579752922058,0.0001,10000.0
1.0,417.0,0.0417,0.0417,0.0417,0.08524887263774872,0.909132719039917,-0.0007062789518386126,0.0009146627853624523,0.9798341393470764,0.9685607552528381,1.8297505378723145,0.0001,10000.0
1.0,833.0,0.0833,0.0833,0.0833,0.07731561362743378,0.9171863794326782,-0.0009123278432525694,0.0038122355472296476,0.9623095989227295,0.9483354091644287,1.824458122253418,0.0001,10000.0
1.0,1250.0,0.125,0.125,0.125,0.07413146644830704,0.9265210628509521,-0.0005383045645430684,0.006428970023989677,0.9488155245780945,0.9324339628219604,1.8203686475753784,0.0001,10000.0
1.0,1667.0,0.16670000000000001,0.16670000000000001,0.16670000000000001,0.07091653347015381,0.9329738616943359,-0.00014829040446784347,0.009749464690685272,0.938586950302124,0.9177133440971375,1.816756248474121,0.0001,10000.0
1.0,2083.0,0.2083,0.2083,0.2083,0.06754611432552338,0.9387078881263733,0.0007387112127617002,0.012925173155963421,0.9299408793449402,0.9025786519050598,1.8132872581481934,0.0001,10000.0
1.0,2500.0,0.25,0.25,0.25,0.06462076306343079,0.9425498247146606,0.0004340472223702818,0.01470259577035904,0.9237513542175293,0.8912800550460815,1.8106640577316284,0.0001,10000.0
1.0,2917.0,0.2917,0.2917,0.2917,0.06033435836434364,0.9440727829933167,-0.0016370430821552873,0.01747799851000309,0.9171223640441895,0.8810811638832092,1.808255910873413,0.0001,10000.0
1.0,3333.0,0.33330000000000004,0.33330000000000004,0.33330000000000004,0.060122910887002945,0.9431920051574707,-0.002332742791622877,0.019848214462399483,0.9175466299057007,0.8678852915763855,1.8062465190887451,0.0001,10000.0
1.0,3750.0,0.375,0.375,0.375,0.06124056503176689,0.9369613528251648,-0.0021292914170771837,0.021988797932863235,0.9243209958076477,0.8600552082061768,1.8057218790054321,0.0001,10000.0
1.0,4167.0,0.4167,0.4167,0.4167,0.06436572223901749,0.9273042678833008,-0.0035429398994892836,0.022974349558353424,0.9343587756156921,0.854582667350769,1.8060271739959717,0.0001,10000.0
1.0,4583.0,0.45830000000000004,0.45830000000000004,0.45830000000000004,0.07386933267116547,0.9139118194580078,-0.0019783598836511374,0.025092946365475655,0.9506762623786926,0.8479071259498596,1.8069214820861816,0.0001,10000.0
1.0,5000.0,0.5,0.5,0.5,0.08702455461025238,0.8926069736480713,-0.0020963524002581835,0.025631751865148544,0.9758084416389465,0.841107964515686,1.8089407682418823,0.0001,10000.0
1.0,5417.0,0.5417000000000001,0.5417000000000001,0.5417000000000001,0.10815523564815521,0.8660135269165039,-0.0008432330214418471,0.02730976976454258,1.007628083229065,0.8347486853599548,1.8118093013763428,0.0001,10000.0
