r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps
1.0,0.0,0.0,0.0,0.0,0.00719988951459527,0.13120339810848236,-0.005492932163178921,1.0045541524887085,1.000867409211597,0.02945181168615818,0.05,20.0
1.0,1.0,0.05,0.05,0.05,0.007530559320002794,0.13018643856048584,-0.005397427827119827,1.0100356340408325,1.0017166606902708,0.04143260419368744,0.05,20.0
1.0,2.0,0.1,0.1,0.1,0.007695462554693222,0.12748144567012787,-0.004144673235714436,1.0184173583984375,1.0032813526623234,0.05728309229016304,0.05,20.0
1.0,3.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0077813295647501945,0.1299738585948944,-0.0042898464016616344,1.0118581056594849,1.006058002073388,0.07783316820859909,0.05,20.0
1.0,4.0,0.2,0.2,0.2,0.00843613687902689,0.1314929723739624,-0.006215555593371391,1.0095858573913574,1.0108022556928313,0.1039339005947113,0.05,20.0
1.0,5.0,0.25,0.25,0.25,0.006741629447788,0.12825721502304077,-0.005212207790464163,1.0139241218566895,1.018604069565975,0.13639673590660095,0.05,20.0
1.0,6.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0070080203004181385,0.1278357207775116,-0.005317565985023975,1.0146766901016235,1.0309463660806044,0.17591579258441925,0.05,20.0
1.0,7.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.00871242955327034,0.12796373665332794,-0.006132778711616993,1.0180611610412598,1.049718674959449,0.22297684848308563,0.05,20.0
1.0,8.0,0.4,0.4,0.4,0.008236943744122982,0.126769557595253,-0.005553558934479952,1.0199946165084839,1.0771502859495508,0.2777594029903412,0.05,20.0
1.0,9.0,0.45,0.45,0.45,0.009004941210150719,0.12486457824707031,-0.006789948791265488,1.0269609689712524,1.11562823410749,0.34004151821136475,0.05,20.0
1.0,10.0,0.5,0.5,0.5,0.010871345177292824,0.12245141714811325,-0.005424187518656254,1.0335114002227783,1.1673781204663136,0.4091187119483948,0.05,20.0
